Date,temparature_C,Humidity,NLDC Demand
26.11.2020,21.53083333,80.00583333,216.5
27.11.2020,21.99833333,77.78958333,205.7916667
28.11.2020,22.98416667,75.33625,213.1666667
29.11.2020,22.24541667,78.51916667,220.125
30.11.2020,21.64375,82.40958333,220.125
01.12.2020,21.20083333,80.17916667,220.9166667
02.12.2020,20.31916667,80.24708333,222.9583333
03.12.2020,19.8475,81.87291667,222
04.12.2020,19.34583333,82.61666667,209.0416667
05.12.2020,19.13583333,83.4475,213.4583333
06.12.2020,18.97416667,84.90791667,222
07.12.2020,18.80041667,83.66958333,218.6666667
08.12.2020,18.81916667,79.47375,216.1666667
09.12.2020,18.45666667,82.07041667,215.4166667
10.12.2020,18.42708333,85.35416667,212.5416667
11.12.2020,18.1425,85.22208333,209.75
12.12.2020,17.82375,84.88208333,215.875
13.12.2020,17.88375,86.88458333,248.3333333
14.12.2020,17.92125,81.20125,222.875
15.12.2020,17.62916667,79.38041667,220.2916667
16.12.2020,18.07416667,80.5775,211
17.12.2020,17.51541667,84.55166667,223.2083333
18.12.2020,16.25083333,80.23708333,207.6666667
19.12.2020,14.90791667,77.77583333,189.3333333
20.12.2020,15.88666667,72.35583333,216.3333333
21.12.2020,16.87333333,77.17,220.375
22.12.2020,16.31291667,81.695,213.8333333
23.12.2020,16.59625,80.305,211.0416667
24.12.2020,17.20375,81.53666667,208.8333333
25.12.2020,17.21541667,83.28416667,204.875
26.12.2020,16.73166667,78.11208333,206.9583333
27.12.2020,16.58125,75.84416667,211.9166667
28.12.2020,16.26958333,79.83625,212.5416667
29.12.2020,16.94833333,73.90416667,213.3333333
30.12.2020,17.41125,72.62916667,210.5
31.12.2020,17.525,77.38833333,213.7916667
01.01.2021,17.47333333,77.96125,210.2916667
02.01.2021,16.82208333,80.88291667,210.2916667
03.01.2021,17.365,74.9625,217.5
04.01.2021,18.85333333,69.49666667,219.2916667
05.01.2021,19.03708333,76.94458333,218.4166667
06.01.2021,19.98583333,76.41291667,220.4583333
07.01.2021,19.53083333,79.88,224.9166667
08.01.2021,19.495,73.58625,224.2083333
09.01.2021,17.94791667,81.92333333,214.4166667
10.01.2021,18.21625,83.44916667,229.125
11.01.2021,18.81083333,84.75833333,231.75
12.01.2021,17.71708333,81.59375,237.6666667
13.01.2021,16.02291667,81.06666667,229.4166667
14.01.2021,15.59375,81.68166667,231.75
15.01.2021,15.5475,81.45291667,220.375
16.01.2021,15.64583333,81.69875,226.75
17.01.2021,16.87333333,79.39541667,231.7916667
18.01.2021,17.73583333,82.10125,235.875
19.01.2021,16.38041667,86.57541667,229.5416667
20.01.2021,16.14833333,87.64666667,230.5833333
21.01.2021,16.83666667,81.01541667,235.6666667
22.01.2021,16.42583333,77.21875,221.375
23.01.2021,15.935,78.5025,236.7083333
24.01.2021,16.17583333,78.84333333,239.3333333
25.01.2021,16.12041667,78.6825,240
26.01.2021,16.61333333,72.38083333,238.75
27.01.2021,16.50458333,68.745,237.125
28.01.2021,17.39833333,67.52375,239.5
29.01.2021,17.06791667,71.21708333,229.75
30.01.2021,16.0775,69.04458333,215.125
31.01.2021,15.08208333,61.87583333,236.2083333
